precinct,education,estimate,units
410050412,Less than 9th grade,67.171764,People
410050412,"Some college, no degree",859.620815,People
410050413,"9th to 12th grade, no diploma",345.37302800000003,People
410050413,Associate's degree,739.985672,People
410050413,Bachelor's degree,1236.977193,People
410050413,Graduate or professional degree,285.378851,People
410050413,High school graduate (includes equivalency),2220.170213,People
410050413,Less than 9th grade,83.013028,People
410050413,"Some college, no degree",1842.4904800000002,People
410050414,"9th to 12th grade, no diploma",469.301871,People
410050414,Associate's degree,2011.2518010000001,People
410050414,Bachelor's degree,4061.626383,People
410050414,Graduate or professional degree,1921.473197,People
410050414,High school graduate (includes equivalency),3826.407208,People
410050414,Less than 9th grade,158.97423,People
410050414,"Some college, no degree",4202.268176,People
410050415,"9th to 12th grade, no diploma",1325.050128,People
410050415,Associate's degree,3776.247496,People
410050415,Bachelor's degree,10944.637928,People
410050415,Graduate or professional degree,6585.84608,People
410050415,High school graduate (includes equivalency),7194.273904,People
410050415,Less than 9th grade,531.133232,People
410050415,"Some college, no degree",8663.251792,People
410050416,"9th to 12th grade, no diploma",296.222582,People
410050416,Associate's degree,842.116754,People
410050416,Bachelor's degree,2435.05397,People
410050416,Graduate or professional degree,1551.2458060000001,People
410050416,High school graduate (includes equivalency),1704.0832,People
410050416,Less than 9th grade,241.726258,People
410050416,"Some college, no degree",2229.603848,People
410050417,"9th to 12th grade, no diploma",84.236232,People
410050417,Associate's degree,85.138079,People
410050417,Bachelor's degree,101.404026,People
410050417,Graduate or professional degree,10.150186,People
410050417,High school graduate (includes equivalency),332.965095,People
410050417,Less than 9th grade,47.985004000000004,People
410050417,"Some college, no degree",277.219002,People
410050418,"9th to 12th grade, no diploma",396.52746,People
410050418,Associate's degree,710.2456970000001,People
410050418,Bachelor's degree,2239.817075,People
410050418,Graduate or professional degree,1477.354509,People
410050418,High school graduate (includes equivalency),1198.143719,People
410050418,Less than 9th grade,88.162117,People
410050418,"Some college, no degree",1691.390621,People
410050419,"9th to 12th grade, no diploma",70.63315499999999,People
410050419,Associate's degree,143.044497,People
410050419,Bachelor's degree,485.688467,People
410050419,Graduate or professional degree,269.483974,People
410050419,High school graduate (includes equivalency),490.17099299999995,People
410050419,Less than 9th grade,46.90398,People
410050419,"Some college, no degree",541.3568919999999,People
410050420,"9th to 12th grade, no diploma",1184.408675,People
410050420,Associate's degree,5175.729457,People
410050420,Bachelor's degree,9333.867967,People
410050420,Graduate or professional degree,3897.059138,People
410050420,High school graduate (includes equivalency),14468.776418,People
410050420,Less than 9th grade,97.408381,People
410050420,"Some college, no degree",13353.109856,People
410050421,"9th to 12th grade, no diploma",93.680767,People
410050421,Associate's degree,165.74795300000002,People
410050421,Bachelor's degree,458.013809,People
410050421,Graduate or professional degree,253.825768,People
410050421,High school graduate (includes equivalency),482.515187,People
410050421,Less than 9th grade,61.114617,People
410050421,"Some college, no degree",648.094512,People
410050422,"9th to 12th grade, no diploma",116.68306,People
410050422,Associate's degree,124.418773,People
410050422,Bachelor's degree,242.438815,People
410050422,Graduate or professional degree,90.076351,People
410050422,High school graduate (includes equivalency),471.518727,People
410050422,Less than 9th grade,52.392926,People
410050422,"Some college, no degree",380.04253800000004,People
410050423,"9th to 12th grade, no diploma",0.287595,People
410050423,Associate's degree,44.602579999999996,People
410050423,Bachelor's degree,431.273635,People
410050423,Graduate or professional degree,241.021647,People
410050423,High school graduate (includes equivalency),173.13668499999997,People
410050423,Less than 9th grade,0.057519,People
410050423,"Some college, no degree",219.35306599999998,People
410050500,"9th to 12th grade, no diploma",57.377776,People
410050500,Associate's degree,194.922053,People
410050500,Bachelor's degree,508.85272199999997,People
410050500,Graduate or professional degree,166.033308,People
410050500,High school graduate (includes equivalency),456.054527,People
410050500,Less than 9th grade,38.375903,People
410050500,"Some college, no degree",528.946034,People
410050501,"9th to 12th grade, no diploma",58.993354,People
410050501,Associate's degree,70.763958,People
410050501,Bachelor's degree,196.244196,People
410050501,Graduate or professional degree,140.577012,People
410050501,High school graduate (includes equivalency),343.33677800000004,People
410050501,Less than 9th grade,2.908279,People
410050501,"Some college, no degree",340.374999,People
410050502,"9th to 12th grade, no diploma",94.877868,People
410050502,Associate's degree,192.982218,People
410050502,Bachelor's degree,394.089903,People
410050502,Graduate or professional degree,172.816005,People
410050502,High school graduate (includes equivalency),499.411941,People
410050502,Less than 9th grade,50.358872999999996,People
410050502,"Some college, no degree",460.549099,People
410050503,"9th to 12th grade, no diploma",44.920013,People
410050503,Associate's degree,160.910781,People
410050503,Bachelor's degree,472.53438700000004,People
410050503,Graduate or professional degree,178.67327400000002,People
410050503,High school graduate (includes equivalency),464.072515,People
410050503,Less than 9th grade,16.661898,People
410050503,"Some college, no degree",420.189224,People
410050504,"9th to 12th grade, no diploma",146.017607,People
410050504,Associate's degree,157.306534,People
410050504,Bachelor's degree,242.68891000000002,People
410050504,Graduate or professional degree,135.841058,People
410050504,High school graduate (includes equivalency),480.74919,People
410050504,Less than 9th grade,22.018530000000002,People
410050504,"Some college, no degree",582.3723630000001,People
410050505,"9th to 12th grade, no diploma",50.789155,People
410050505,Associate's degree,158.334094,People
410050505,Bachelor's degree,258.494937,People
410050505,Graduate or professional degree,106.10892100000001,People
410050505,High school graduate (includes equivalency),420.751975,People
410050505,Less than 9th grade,59.723282,People
410050505,"Some college, no degree",521.3570890000001,People
410050506,"9th to 12th grade, no diploma",100.75480300000001,People
410050506,Associate's degree,132.020617,People
410050506,Bachelor's degree,186.489773,People
410050506,Graduate or professional degree,81.767722,People
410050506,High school graduate (includes equivalency),409.571478,People
410050506,Less than 9th grade,25.824089999999998,People
410050506,"Some college, no degree",345.20086100000003,People
410050510,"9th to 12th grade, no diploma",406,People
410050510,Associate's degree,1041,People
410050510,Bachelor's degree,1628,People
410050510,Graduate or professional degree,414,People
410050510,High school graduate (includes equivalency),1752,People
410050510,Less than 9th grade,95,People
410050510,"Some college, no degree",2662,People
410050511,"9th to 12th grade, no diploma",89.120416,People
410050511,Associate's degree,193.62842,People
410050511,Bachelor's degree,268.643194,People
410050511,Graduate or professional degree,99.261258,People
410050511,High school graduate (includes equivalency),451.90037499999994,People
410050511,Less than 9th grade,8.773426,People
410050511,"Some college, no degree",425.430142,People
410050512,"9th to 12th grade, no diploma",87.276451,People
410050512,Associate's degree,201.99458299999998,People
410050512,Bachelor's degree,297.074689,People
410050512,Graduate or professional degree,101.58006499999999,People
410050512,High school graduate (includes equivalency),384.316401,People
410050512,Less than 9th grade,55.982034,People
410050512,"Some college, no degree",485.947066,People
410050513,"9th to 12th grade, no diploma",44.195033,People
410050513,Associate's degree,172.794503,People
410050513,Bachelor's degree,354.77254,People
410050513,Graduate or professional degree,130.918252,People
410050513,High school graduate (includes equivalency),299.632272,People
410050513,Less than 9th grade,15.227622,People
410050513,"Some college, no degree",346.312571,People
410050514,"9th to 12th grade, no diploma",27.82014,People
410050514,Associate's degree,224.713246,People
410050514,Bachelor's degree,329.186809,People
410050514,Graduate or professional degree,179.244325,People
410050514,High school graduate (includes equivalency),393.017563,People
410050514,Less than 9th grade,9.533201,People
410050514,"Some college, no degree",462.59567,People
410050515,"9th to 12th grade, no diploma",28.415561,People
410050515,Associate's degree,198.902551,People
410050515,Bachelor's degree,364.37053299999997,People
410050515,Graduate or professional degree,230.811722,People
410050515,High school graduate (includes equivalency),293.541666,People
410050515,Less than 9th grade,18.934409,People
410050515,"Some college, no degree",418.647938,People
410050516,"9th to 12th grade, no diploma",51.958766,People
410050516,Associate's degree,87.676598,People
410050516,Bachelor's degree,157.443025,People
410050516,Graduate or professional degree,64.238723,People
410050516,High school graduate (includes equivalency),235.61862,People
410050516,Less than 9th grade,13.23962,People
410050516,"Some college, no degree",303.970228,People
410050517,"9th to 12th grade, no diploma",54.351849,People
410050517,Associate's degree,123.044788,People
410050517,Bachelor's degree,173.896963,People
410050517,Graduate or professional degree,83.518148,People
410050517,High school graduate (includes equivalency),252.568007,People
410050517,Less than 9th grade,18.063127,People
410050517,"Some college, no degree",322.29218,People
410050518,"9th to 12th grade, no diploma",50.281886,People
410050518,Associate's degree,140.41917999999998,People
410050518,Bachelor's degree,295.945897,People
410050518,Graduate or professional degree,122.39316600000001,People
410050518,High school graduate (includes equivalency),279.582711,People
410050518,Less than 9th grade,54.848673,People
410050518,"Some college, no degree",369.16128199999997,People
410050519,"9th to 12th grade, no diploma",44.803911,People
410050519,Associate's degree,181.039598,People
410050519,Bachelor's degree,552.769775,People
410050519,Graduate or professional degree,109.59883400000001,People
410050519,High school graduate (includes equivalency),414.959093,People
410050519,Less than 9th grade,98.19574100000001,People
410050519,"Some college, no degree",518.535958,People
410050520,"9th to 12th grade, no diploma",76.84588500000001,People
410050520,Associate's degree,159.30313900000002,People
410050520,Bachelor's degree,219.77347200000003,People
410050520,Graduate or professional degree,116.01633700000001,People
410050520,High school graduate (includes equivalency),82.64731800000001,People
410050520,Less than 9th grade,1.1830960000000001,People
410050520,"Some college, no degree",263.880664,People
410090001,"9th to 12th grade, no diploma",72.84132699999999,People
410090001,Associate's degree,72.458827,People
410090001,Bachelor's degree,78.127004,People
410090001,Graduate or professional degree,62.745425,People
410090001,High school graduate (includes equivalency),336.016062,People
410090001,Less than 9th grade,7.194426,People
410090001,"Some college, no degree",258.14500599999997,People
410090004,"9th to 12th grade, no diploma",71.522184,People
410090004,Associate's degree,116.79842599999999,People
410090004,Bachelor's degree,61.1703,People
410090004,Graduate or professional degree,70.62057,People
410090004,High school graduate (includes equivalency),344.270755,People
410090004,Less than 9th grade,11.778957,People
410090004,"Some college, no degree",248.462056,People
410090005,"9th to 12th grade, no diploma",64.419371,People
410090005,Associate's degree,134.383071,People
410090005,Bachelor's degree,140.36073199999998,People
410090005,Graduate or professional degree,60.033975,People
410090005,High school graduate (includes equivalency),572.3466000000001,People
410090005,Less than 9th grade,37.20393,People
410090005,"Some college, no degree",360.255002,People
410090006,"9th to 12th grade, no diploma",48.987665,People
410090006,Associate's degree,109.339257,People
410090006,Bachelor's degree,70.694363,People
410090006,Graduate or professional degree,60.138259999999995,People
410090006,High school graduate (includes equivalency),498.84702,People
410090006,Less than 9th grade,33.405882999999996,People
410090006,"Some college, no degree",333.434322,People
410090008,"9th to 12th grade, no diploma",89.496531,People
410090008,Associate's degree,103.882716,People
410090008,Bachelor's degree,74.551149,People
410090008,Graduate or professional degree,46.563252,People
410090008,High school graduate (includes equivalency),329.937558,People
410090008,Less than 9th grade,27.878895,People
410090008,"Some college, no degree",276.20297700000003,People
410090010,"9th to 12th grade, no diploma",134.594613,People
410090010,Associate's degree,205.270912,People
410090010,Bachelor's degree,185.950339,People
410090010,Graduate or professional degree,136.162338,People
410090010,High school graduate (includes equivalency),834.968167,People
410090010,Less than 9th grade,54.553864,People
410090010,"Some college, no degree",682.977082,People
410090012,"9th to 12th grade, no diploma",37.631994,People
410090012,Associate's degree,79.094534,People
410090012,Bachelor's degree,163.969289,People
410090012,Graduate or professional degree,63.804657000000006,People
410090012,High school graduate (includes equivalency),281.238475,People
410090012,Less than 9th grade,18.512016,People
410090012,"Some college, no degree",267.443524,People
410090014,"9th to 12th grade, no diploma",89.13768599999999,People
410090014,Associate's degree,155.555624,People
410090014,Bachelor's degree,68.54864599999999,People
410090014,Graduate or professional degree,100.351152,People
410090014,High school graduate (includes equivalency),405.41712,People
410090014,Less than 9th grade,25.902584,People
410090014,"Some college, no degree",280.847374,People
410090015,"9th to 12th grade, no diploma",60.032499,People
410090015,Associate's degree,75.966347,People
410090015,Bachelor's degree,82.020883,People
410090015,Graduate or professional degree,25.619033,People
410090015,High school graduate (includes equivalency),314.096863,People
410090015,Less than 9th grade,25.227381,People
410090015,"Some college, no degree",238.14231700000002,People
410090017,"9th to 12th grade, no diploma",48.433612000000004,People
410090017,Associate's degree,78.823435,People
410090017,Bachelor's degree,111.19116600000001,People
410090017,Graduate or professional degree,40.133928,People
410090017,High school graduate (includes equivalency),283.773369,People
410090017,Less than 9th grade,64.194528,People
410090017,"Some college, no degree",244.18414700000002,People
410090018,"9th to 12th grade, no diploma",61.054932,People
410090018,Associate's degree,66.59550399999999,People
410090018,Bachelor's degree,58.920426,People
410090018,Graduate or professional degree,23.432351999999998,People
410090018,High school graduate (includes equivalency),282.39446,People
410090018,Less than 9th grade,2.706358,People
410090018,"Some college, no degree",207.47782999999998,People
410090019,"9th to 12th grade, no diploma",44.002776,People
410090019,Associate's degree,105.69078199999998,People
410090019,Bachelor's degree,216.08238799999998,People
410090019,Graduate or professional degree,90.517946,People
410090019,High school graduate (includes equivalency),405.84762,People
410090019,Less than 9th grade,3.5791880000000003,People
410090019,"Some college, no degree",481.582776,People
410090020,"9th to 12th grade, no diploma",29.239530000000002,People
410090020,Associate's degree,89.272528,People
410090020,Bachelor's degree,204.75726699999998,People
410090020,Graduate or professional degree,61.733983,People
410090020,High school graduate (includes equivalency),421.574172,People
410090020,Less than 9th grade,6.00793,People
410090020,"Some college, no degree",422.593368,People
410090021,"9th to 12th grade, no diploma",102.257695,People
410090021,Associate's degree,102.786678,People
410090021,Bachelor's degree,82.013659,People
410090021,Graduate or professional degree,53.168664,People
410090021,High school graduate (includes equivalency),359.57917699999996,People
410090021,Less than 9th grade,14.531198999999999,People
410090021,"Some college, no degree",318.288117,People
410090024,"9th to 12th grade, no diploma",157.67175,People
410090024,Associate's degree,130.331613,People
410090024,Bachelor's degree,115.967901,People
410090024,Graduate or professional degree,59.269548,People
410090024,High school graduate (includes equivalency),528.385398,People
410090024,Less than 9th grade,43.74626,People
410090024,"Some college, no degree",457.18079,People
410090026,"9th to 12th grade, no diploma",148.484447,People
410090026,Associate's degree,226.227873,People
410090026,Bachelor's degree,268.603643,People
410090026,Graduate or professional degree,109.339346,People
410090026,High school graduate (includes equivalency),673.138991,People
410090026,Less than 9th grade,64.644187,People
410090026,"Some college, no degree",595.415249,People
410090031,"9th to 12th grade, no diploma",55.158186,People
410090031,Associate's degree,114.914224,People
410090031,Bachelor's degree,345.00945099999996,People
410090031,Graduate or professional degree,81.085934,People
410090031,High school graduate (includes equivalency),338.299779,People
410090031,Less than 9th grade,3.3207489999999997,People
410090031,"Some college, no degree",410.758339,People
410090032,"9th to 12th grade, no diploma",67.438479,People
410090032,Associate's degree,141.877583,People
410090032,Bachelor's degree,181.54685,People
410090032,Graduate or professional degree,105.99243,People
410090032,High school graduate (includes equivalency),334.517498,People
410090032,Less than 9th grade,26.787267999999997,People
410090032,"Some college, no degree",395.562743,People
410090034,"9th to 12th grade, no diploma",56.96986100000001,People
410090034,Associate's degree,130.688014,People
410090034,Bachelor's degree,239.053836,People
410090034,Graduate or professional degree,72.212875,People
410090034,High school graduate (includes equivalency),349.78357000000005,People
410090034,Less than 9th grade,8.296671,People
410090034,"Some college, no degree",361.717221,People
410090035,"9th to 12th grade, no diploma",60.919033,People
410090035,Associate's degree,131.983645,People
410090035,Bachelor's degree,210.356782,People
410090035,Graduate or professional degree,107.6323,People
410090035,High school graduate (includes equivalency),261.137448,People
410090035,Less than 9th grade,19.449635,People
410090035,"Some college, no degree",345.42505,People
410090036,"9th to 12th grade, no diploma",41.886448,People
410090036,Associate's degree,178.55152600000002,People
410090036,Bachelor's degree,312.99561800000004,People
410090036,Graduate or professional degree,114.820076,People
410090036,High school graduate (includes equivalency),192.81160200000002,People
410090036,Less than 9th grade,8.472256,People
410090036,"Some college, no degree",306.155498,People
410090038,"9th to 12th grade, no diploma",48.221517,People
410090038,Associate's degree,115.62536,People
410090038,Bachelor's degree,332.048168,People
410090038,Graduate or professional degree,87.167357,People
410090038,High school graduate (includes equivalency),387.984741,People
410090038,Less than 9th grade,1.2971929999999998,People
410090038,"Some college, no degree",488.923398,People
410090039,"9th to 12th grade, no diploma",63.718233000000005,People
410090039,Associate's degree,72.944585,People
410090039,Bachelor's degree,155.44559800000002,People
410090039,Graduate or professional degree,100.536931,People
410090039,High school graduate (includes equivalency),166.94036,People
410090039,Less than 9th grade,12.024737,People
410090039,"Some college, no degree",197.12853800000002,People
410090040,"9th to 12th grade, no diploma",12.353178,People
410090040,Associate's degree,94.087059,People
410090040,Bachelor's degree,136.112386,People
410090040,Graduate or professional degree,71.1912,People
410090040,High school graduate (includes equivalency),483.197357,People
410090040,Less than 9th grade,19.191145,People
410090040,"Some college, no degree",242.154226,People
410090041,"9th to 12th grade, no diploma",77.309715,People
410090041,Associate's degree,82.25545,People
410090041,Bachelor's degree,90.63606,People
410090041,Graduate or professional degree,50.45551,People
410090041,High school graduate (includes equivalency),305.30845999999997,People
410090041,Less than 9th grade,11.142150000000001,People
410090041,"Some college, no degree",241.56864,People
410090044,"9th to 12th grade, no diploma",66.656805,People
410090044,Associate's degree,76.474908,People
410090044,Bachelor's degree,101.303806,People
410090044,Graduate or professional degree,39.947622,People
410090044,High school graduate (includes equivalency),306.65202600000003,People
410090044,Less than 9th grade,13.042515000000002,People
410090044,"Some college, no degree",238.786998,People
410090046,"9th to 12th grade, no diploma",58.341986,People
410090046,Associate's degree,122.345585,People
410090046,Bachelor's degree,106.941004,People
410090046,Graduate or professional degree,61.677731,People
410090046,High school graduate (includes equivalency),450.72038100000003,People
410090046,Less than 9th grade,28.314650000000004,People
410090046,"Some college, no degree",306.13643,People
410090047,"9th to 12th grade, no diploma",25.901242999999997,People
410090047,Associate's degree,61.210439,People
410090047,Bachelor's degree,102.658572,People
410090047,Graduate or professional degree,31.930003,People
410090047,High school graduate (includes equivalency),295.932119,People
410090047,Less than 9th grade,3.691331,People
410090047,"Some college, no degree",233.149349,People
410090048,"9th to 12th grade, no diploma",23.050914,People
410090048,Associate's degree,127.45171299999998,People
410090048,Bachelor's degree,152.777542,People
410090048,Graduate or professional degree,104.674723,People
410090048,High school graduate (includes equivalency),492.35147399999994,People
410090048,Less than 9th grade,22.490201,People
410090048,"Some college, no degree",323.390836,People
410090049,"9th to 12th grade, no diploma",105.795608,People
410090049,Associate's degree,68.352486,People
410090049,Bachelor's degree,129.695564,People
410090049,Graduate or professional degree,46.583318,People
410090049,High school graduate (includes equivalency),339.62954199999996,People
410090049,Less than 9th grade,40.557404,People
410090049,"Some college, no degree",312.738154,People
410090050,"9th to 12th grade, no diploma",58,People
410090050,Associate's degree,96,People
410090050,Bachelor's degree,69,People
410090050,Graduate or professional degree,8,People
410090050,High school graduate (includes equivalency),410,People
410090050,Less than 9th grade,7,People
410090050,"Some college, no degree",275,People
410090051,"9th to 12th grade, no diploma",97.10186999999999,People
410090051,Associate's degree,115.164603,People
410090051,Bachelor's degree,67.762293,People
410090051,Graduate or professional degree,79.06112999999999,People
410090051,High school graduate (includes equivalency),326.675559,People
410090051,Less than 9th grade,7.98268,People
410090051,"Some college, no degree",275.02541099999996,People
410090053,"9th to 12th grade, no diploma",153.46665000000002,People
410090053,Associate's degree,210.15609600000002,People
410090053,Bachelor's degree,140.256279,People
410090053,Graduate or professional degree,151.266679,People
410090053,High school graduate (includes equivalency),943.207639,People
410090053,Less than 9th grade,52.596576000000006,People
410090053,"Some college, no degree",779.163502,People
410512701,"9th to 12th grade, no diploma",23.371886,People
410512701,Associate's degree,31.402159,People
410512701,Bachelor's degree,402.463058,People
410512701,Graduate or professional degree,397.883254,People
410512701,High school graduate (includes equivalency),83.38187500000001,People
410512701,Less than 9th grade,4.223524,People
410512701,"Some college, no degree",166.094991,People
410512702,"9th to 12th grade, no diploma",20.135281,People
410512702,Associate's degree,29.331167,People
410512702,Bachelor's degree,394.685622,People
410512702,Graduate or professional degree,388.355856,People
410512702,High school graduate (includes equivalency),76.57390099999999,People
410512702,Less than 9th grade,3.218912,People
410512702,"Some college, no degree",159.769158,People
410513101,"9th to 12th grade, no diploma",11.603769999999999,People
410513101,Associate's degree,49.199116,People
410513101,Bachelor's degree,271.070006,People
410513101,Graduate or professional degree,268.539121,People
410513101,High school graduate (includes equivalency),126.000519,People
410513101,Less than 9th grade,6.357856,People
410513101,"Some college, no degree",157.29833399999998,People
410513102,"9th to 12th grade, no diploma",47.340868,People
410513102,Associate's degree,121.773802,People
410513102,Bachelor's degree,426.32049800000004,People
410513102,Graduate or professional degree,218.77836299999998,People
410513102,High school graduate (includes equivalency),261.10821100000004,People
410513102,Less than 9th grade,0.07596,People
410513102,"Some college, no degree",378.995898,People
410513103,"9th to 12th grade, no diploma",8.410290999999999,People
410513103,Associate's degree,11.949088,People
410513103,Bachelor's degree,197.334148,People
410513103,Graduate or professional degree,73.39448900000001,People
410513103,High school graduate (includes equivalency),75.46573000000001,People
410513103,Less than 9th grade,0.23218899999999998,People
410513103,"Some college, no degree",187.296557,People
410513301,"9th to 12th grade, no diploma",35.477904,People
410513301,Associate's degree,103.88165,People
410513301,Bachelor's degree,1066.190063,People
410513301,Graduate or professional degree,725.246276,People
410513301,High school graduate (includes equivalency),161.592396,People
410513301,Less than 9th grade,3.56096,People
410513301,"Some college, no degree",345.786159,People
410513303,"9th to 12th grade, no diploma",14.54274,People
410513303,Associate's degree,61.010968,People
410513303,Bachelor's degree,420.900722,People
410513303,Graduate or professional degree,485.772273,People
410513303,High school graduate (includes equivalency),130.350471,People
410513303,Less than 9th grade,3.4453080000000003,People
410513303,"Some college, no degree",200.049298,People
410513304,"9th to 12th grade, no diploma",12.010307,People
410513304,Associate's degree,28.134544000000002,People
410513304,Bachelor's degree,347.37038900000005,People
410513304,Graduate or professional degree,546.5252740000001,People
410513304,High school graduate (includes equivalency),54.631585,People
410513304,Less than 9th grade,0,People
410513304,"Some college, no degree",126.77802,People
410513501,"9th to 12th grade, no diploma",23.800634,People
410513501,Associate's degree,81.88129500000001,People
410513501,Bachelor's degree,540.933341,People
410513501,Graduate or professional degree,310.09076799999997,People
410513501,High school graduate (includes equivalency),179.42798900000003,People
410513501,Less than 9th grade,7.309395,People
410513501,"Some college, no degree",369.184496,People
410513502,"9th to 12th grade, no diploma",36.033722999999995,People
410513502,Associate's degree,55.11781,People
410513502,Bachelor's degree,548.796027,People
410513502,Graduate or professional degree,459.77031999999997,People
410513502,High school graduate (includes equivalency),170.25391,People
410513502,Less than 9th grade,6.095548,People
410513502,"Some college, no degree",297.916689,People
410513602,"9th to 12th grade, no diploma",28.337568,People
410513602,Associate's degree,40.594644,People
410513602,Bachelor's degree,588.373263,People
410513602,Graduate or professional degree,518.567592,People
410513602,High school graduate (includes equivalency),78.098611,People
410513602,Less than 9th grade,15.95463,People
410513602,"Some college, no degree",160.31855199999998,People
410513603,"9th to 12th grade, no diploma",33.0142,People
410513603,Associate's degree,34.034396,People
410513603,Bachelor's degree,330.70125,People
410513603,Graduate or professional degree,392.55078499999996,People
410513603,High school graduate (includes equivalency),129.218247,People
410513603,Less than 9th grade,10.139338,People
410513603,"Some college, no degree",221.234389,People
410513604,"9th to 12th grade, no diploma",0,People
410513604,Associate's degree,28,People
410513604,Bachelor's degree,423,People
410513604,Graduate or professional degree,382,People
410513604,High school graduate (includes equivalency),93,People
410513604,Less than 9th grade,0,People
410513604,"Some college, no degree",204,People
410513605,"9th to 12th grade, no diploma",13.937026,People
410513605,Associate's degree,22.999624,People
410513605,Bachelor's degree,326.673658,People
410513605,Graduate or professional degree,331.094371,People
410513605,High school graduate (includes equivalency),39.959361,People
410513605,Less than 9th grade,3.62872,People
410513605,"Some college, no degree",116.508984,People
410513606,"9th to 12th grade, no diploma",3.869498,People
410513606,Associate's degree,23.180495,People
410513606,Bachelor's degree,672.994625,People
410513606,Graduate or professional degree,322.914827,People
410513606,High school graduate (includes equivalency),107.332716,People
410513606,Less than 9th grade,4.9467490000000005,People
410513606,"Some college, no degree",345.292221,People
410513607,"9th to 12th grade, no diploma",6.676889,People
410513607,Associate's degree,30.268801,People
410513607,Bachelor's degree,327.705829,People
410513607,Graduate or professional degree,324.329549,People
410513607,High school graduate (includes equivalency),56.762022,People
410513607,Less than 9th grade,2.42557,People
410513607,"Some college, no degree",102.41028299999999,People
410513608,"9th to 12th grade, no diploma",36.398459,People
410513608,Associate's degree,165.82720899999998,People
410513608,Bachelor's degree,1204.152011,People
410513608,Graduate or professional degree,1004.052556,People
410513608,High school graduate (includes equivalency),153.317049,People
410513608,Less than 9th grade,12.683786999999999,People
410513608,"Some college, no degree",385.783498,People
410513609,"9th to 12th grade, no diploma",67.376799,People
410513609,Associate's degree,66.51477700000001,People
410513609,Bachelor's degree,556.635703,People
410513609,Graduate or professional degree,559.712677,People
410513609,High school graduate (includes equivalency),213.02651899999998,People
410513609,Less than 9th grade,19.774874,People
410513609,"Some college, no degree",304.84063,People
410513610,"9th to 12th grade, no diploma",29.044191,People
410513610,Associate's degree,59.774803,People
410513610,Bachelor's degree,366.725796,People
410513610,Graduate or professional degree,510.80728999999997,People
410513610,High school graduate (includes equivalency),74.577265,People
410513610,Less than 9th grade,9.600035,People
410513610,"Some college, no degree",201.693365,People
410513611,"9th to 12th grade, no diploma",13.718762,People
410513611,Associate's degree,61.883953999999996,People
410513611,Bachelor's degree,468.550439,People
410513611,Graduate or professional degree,301.457791,People
410513611,High school graduate (includes equivalency),130.911998,People
410513611,Less than 9th grade,4.3672640000000005,People
410513611,"Some college, no degree",218.135271,People
410513612,"9th to 12th grade, no diploma",22.85572,People
410513612,Associate's degree,87.800563,People
410513612,Bachelor's degree,283.133096,People
410513612,Graduate or professional degree,264.687985,People
410513612,High school graduate (includes equivalency),90.42689899999999,People
410513612,Less than 9th grade,32.751893,People
410513612,"Some college, no degree",447.266314,People
410513801,"9th to 12th grade, no diploma",48.341452000000004,People
410513801,Associate's degree,70.960088,People
410513801,Bachelor's degree,769.144092,People
410513801,Graduate or professional degree,673.4833440000001,People
410513801,High school graduate (includes equivalency),150.243872,People
410513801,Less than 9th grade,0,People
410513801,"Some college, no degree",182.957888,People
410513802,"9th to 12th grade, no diploma",26.281763,People
410513802,Associate's degree,66.631283,People
410513802,Bachelor's degree,581.90862,People
410513802,Graduate or professional degree,511.146603,People
410513802,High school graduate (includes equivalency),130.40382400000001,People
410513802,Less than 9th grade,13.835729,People
410513802,"Some college, no degree",298.338325,People
410513803,"9th to 12th grade, no diploma",67.91082899999999,People
410513803,Associate's degree,74.541421,People
410513803,Bachelor's degree,615.622947,People
410513803,Graduate or professional degree,491.27102399999995,People
410513803,High school graduate (includes equivalency),179.42407699999998,People
410513803,Less than 9th grade,12.260021,People
410513803,"Some college, no degree",326.20202199999994,People
410513804,"9th to 12th grade, no diploma",28.946932999999998,People
410513804,Associate's degree,89.438718,People
410513804,Bachelor's degree,801.665584,People
410513804,Graduate or professional degree,668.329713,People
410513804,High school graduate (includes equivalency),117.489017,People
410513804,Less than 9th grade,6.664914,People
410513804,"Some college, no degree",403.239939,People
410513805,"9th to 12th grade, no diploma",10.220041,People
410513805,Associate's degree,93.12141,People
410513805,Bachelor's degree,354.341137,People
410513805,Graduate or professional degree,213.294591,People
410513805,High school graduate (includes equivalency),97.220383,People
410513805,Less than 9th grade,13.424831000000001,People
410513805,"Some college, no degree",183.523397,People
410513806,"9th to 12th grade, no diploma",24.088763,People
410513806,Associate's degree,82.971608,People
410513806,Bachelor's degree,613.665643,People
410513806,Graduate or professional degree,503.18424100000004,People
410513806,High school graduate (includes equivalency),136.33256,People
410513806,Less than 9th grade,9.315317,People
410513806,"Some college, no degree",257.795069,People
410513807,"9th to 12th grade, no diploma",19.267281,People
410513807,Associate's degree,59.800019999999996,People
410513807,Bachelor's degree,323.45389100000006,People
410513807,Graduate or professional degree,436.03738,People
410513807,High school graduate (includes equivalency),79.41141400000001,People
410513807,Less than 9th grade,3.585273,People
410513807,"Some college, no degree",598.5749940000001,People
410513808,"9th to 12th grade, no diploma",27.471262999999997,People
410513808,Associate's degree,55.296431,People
410513808,Bachelor's degree,365.413971,People
410513808,Graduate or professional degree,451.302046,People
410513808,High school graduate (includes equivalency),112.68458,People
410513808,Less than 9th grade,3.2888409999999997,People
