precinct,hh_type_1,hh_type_2,estimate,units
410050520,"Male householder, no spouse or partner present:",Living alone,38.317538000000006,Households
410050520,"Male householder, no spouse or partner present:",With only nonrelatives present,7.416580000000001,Households
410050520,"Male householder, no spouse or partner present:",With own children under 18 years,12.040613,Households
410050520,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",1.325477,Households
410050520,Married-couple household:,With no own children under 18 years,227.16476000000003,Households
410050520,Married-couple household:,With own children under 18 years,60.29505,Households
410090001,Cohabiting couple household:,With no own children of the householder under 18 years,9.387276,Households
410090001,Cohabiting couple household:,With own children of the householder under 18 years,23.665697,Households
410090001,"Female householder, no spouse or partner present:",Living alone,113.742141,Households
410090001,"Female householder, no spouse or partner present:",With only nonrelatives present,1.576752,Households
410090001,"Female householder, no spouse or partner present:",With own children under 18 years,11.521329,Households
410090001,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",8.617958,Households
410090001,"Male householder, no spouse or partner present:",Living alone,100.735586,Households
410090001,"Male householder, no spouse or partner present:",With only nonrelatives present,4.899536,Households
410090001,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090001,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0.43231200000000003,Households
410090001,Married-couple household:,With no own children under 18 years,142.967636,Households
410090001,Married-couple household:,With own children under 18 years,72.894738,Households
410090004,Cohabiting couple household:,With no own children of the householder under 18 years,30.221266,Households
410090004,Cohabiting couple household:,With own children of the householder under 18 years,16.879912,Households
410090004,"Female householder, no spouse or partner present:",Living alone,110.969288,Households
410090004,"Female householder, no spouse or partner present:",With only nonrelatives present,0.283324,Households
410090004,"Female householder, no spouse or partner present:",With own children under 18 years,16.306546,Households
410090004,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",8.695481,Households
410090004,"Male householder, no spouse or partner present:",Living alone,87.56214,Households
410090004,"Male householder, no spouse or partner present:",With only nonrelatives present,0.39705199999999996,Households
410090004,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090004,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0.035033999999999996,Households
410090004,Married-couple household:,With no own children under 18 years,181.33936400000002,Households
410090004,Married-couple household:,With own children under 18 years,25.001741,Households
410090005,Cohabiting couple household:,With no own children of the householder under 18 years,0.8277760000000001,Households
410090005,Cohabiting couple household:,With own children of the householder under 18 years,16.772687,Households
410090005,"Female householder, no spouse or partner present:",Living alone,89.637545,Households
410090005,"Female householder, no spouse or partner present:",With only nonrelatives present,0.015304,Households
410090005,"Female householder, no spouse or partner present:",With own children under 18 years,1.028431,Households
410090005,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",49.444378,Households
410090005,"Male householder, no spouse or partner present:",Living alone,36.98766,Households
410090005,"Male householder, no spouse or partner present:",With only nonrelatives present,32.207656,Households
410090005,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090005,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",2.8418520000000003,Households
410090005,Married-couple household:,With no own children under 18 years,271.91523800000004,Households
410090005,Married-couple household:,With own children under 18 years,132.06965399999999,Households
410090006,Cohabiting couple household:,With no own children of the householder under 18 years,25.726919,Households
410090006,Cohabiting couple household:,With own children of the householder under 18 years,11.653825000000001,Households
410090006,"Female householder, no spouse or partner present:",Living alone,67.063685,Households
410090006,"Female householder, no spouse or partner present:",With only nonrelatives present,2.431299,Households
410090006,"Female householder, no spouse or partner present:",With own children under 18 years,4.885828999999999,Households
410090006,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",41.688987,Households
410090006,"Male householder, no spouse or partner present:",Living alone,62.527376,Households
410090006,"Male householder, no spouse or partner present:",With only nonrelatives present,12.811988,Households
410090006,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090006,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",15.276129,Households
410090006,Married-couple household:,With no own children under 18 years,184.796571,Households
410090006,Married-couple household:,With own children under 18 years,72.984945,Households
410090008,Cohabiting couple household:,With no own children of the householder under 18 years,11.855331,Households
410090008,Cohabiting couple household:,With own children of the householder under 18 years,2.44035,Households
410090008,"Female householder, no spouse or partner present:",Living alone,27.933954,Households
410090008,"Female householder, no spouse or partner present:",With only nonrelatives present,14.765397,Households
410090008,"Female householder, no spouse or partner present:",With own children under 18 years,1.134228,Households
410090008,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",14.789457,Households
410090008,"Male householder, no spouse or partner present:",Living alone,53.687504999999994,Households
410090008,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090008,"Male householder, no spouse or partner present:",With own children under 18 years,14.15403,Households
410090008,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",12.304143,Households
410090008,Married-couple household:,With no own children under 18 years,228.343152,Households
410090008,Married-couple household:,With own children under 18 years,63.689201999999995,Households
410090010,Cohabiting couple household:,With no own children of the householder under 18 years,20.948887,Households
410090010,Cohabiting couple household:,With own children of the householder under 18 years,20.476594000000002,Households
410090010,"Female householder, no spouse or partner present:",Living alone,127.254273,Households
410090010,"Female householder, no spouse or partner present:",With only nonrelatives present,17.129386,Households
410090010,"Female householder, no spouse or partner present:",With own children under 18 years,33.121542,Households
410090010,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",71.414524,Households
410090010,"Male householder, no spouse or partner present:",Living alone,81.332871,Households
410090010,"Male householder, no spouse or partner present:",With only nonrelatives present,30.73851,Households
410090010,"Male householder, no spouse or partner present:",With own children under 18 years,3.589739,Households
410090010,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",32.551316,Households
410090010,Married-couple household:,With no own children under 18 years,466.387497,Households
410090010,Married-couple household:,With own children under 18 years,196.72750100000002,Households
410090012,Cohabiting couple household:,With no own children of the householder under 18 years,16.371705000000002,Households
410090012,Cohabiting couple household:,With own children of the householder under 18 years,0,Households
410090012,"Female householder, no spouse or partner present:",Living alone,49.322929,Households
410090012,"Female householder, no spouse or partner present:",With only nonrelatives present,0.074481,Households
410090012,"Female householder, no spouse or partner present:",With own children under 18 years,4.092981000000001,Households
410090012,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",15.953764,Households
410090012,"Male householder, no spouse or partner present:",Living alone,45.041496,Households
410090012,"Male householder, no spouse or partner present:",With only nonrelatives present,3.733463,Households
410090012,"Male householder, no spouse or partner present:",With own children under 18 years,2.0334060000000003,Households
410090012,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",4.935777,Households
410090012,Married-couple household:,With no own children under 18 years,191.16736600000002,Households
410090012,Married-couple household:,With own children under 18 years,97.344723,Households
410090014,Cohabiting couple household:,With no own children of the householder under 18 years,48.188484,Households
410090014,Cohabiting couple household:,With own children of the householder under 18 years,1.0518969999999999,Households
410090014,"Female householder, no spouse or partner present:",Living alone,80.445382,Households
410090014,"Female householder, no spouse or partner present:",With only nonrelatives present,1.014769,Households
410090014,"Female householder, no spouse or partner present:",With own children under 18 years,13.886904999999999,Households
410090014,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",14.993536,Households
410090014,"Male householder, no spouse or partner present:",Living alone,79.500247,Households
410090014,"Male householder, no spouse or partner present:",With only nonrelatives present,1.086658,Households
410090014,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090014,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",1.132972,Households
410090014,Married-couple household:,With no own children under 18 years,249.251344,Households
410090014,Married-couple household:,With own children under 18 years,18.884182,Households
410090015,Cohabiting couple household:,With no own children of the householder under 18 years,9.433334,Households
410090015,Cohabiting couple household:,With own children of the householder under 18 years,8.306274,Households
410090015,"Female householder, no spouse or partner present:",Living alone,32.277356,Households
410090015,"Female householder, no spouse or partner present:",With only nonrelatives present,4.531124,Households
410090015,"Female householder, no spouse or partner present:",With own children under 18 years,9.459591,Households
410090015,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",18.05453,Households
410090015,"Male householder, no spouse or partner present:",Living alone,44.547343,Households
410090015,"Male householder, no spouse or partner present:",With only nonrelatives present,4.7111979999999996,Households
410090015,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090015,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",19.353838,Households
410090015,Married-couple household:,With no own children under 18 years,159.22968,Households
410090015,Married-couple household:,With own children under 18 years,35.754441,Households
410090017,Cohabiting couple household:,With no own children of the householder under 18 years,9.37059,Households
410090017,Cohabiting couple household:,With own children of the householder under 18 years,8.583636,Households
410090017,"Female householder, no spouse or partner present:",Living alone,48.888616999999996,Households
410090017,"Female householder, no spouse or partner present:",With only nonrelatives present,8.734077000000001,Households
410090017,"Female householder, no spouse or partner present:",With own children under 18 years,10.879749,Households
410090017,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",19.950556,Households
410090017,"Male householder, no spouse or partner present:",Living alone,31.515845000000002,Households
410090017,"Male householder, no spouse or partner present:",With only nonrelatives present,9.196166,Households
410090017,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090017,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",11.960396,Households
410090017,Married-couple household:,With no own children under 18 years,168.526161,Households
410090017,Married-couple household:,With own children under 18 years,49.355018,Households
410090018,Cohabiting couple household:,With no own children of the householder under 18 years,6.585592,Households
410090018,Cohabiting couple household:,With own children of the householder under 18 years,12.73048,Households
410090018,"Female householder, no spouse or partner present:",Living alone,28.453221999999997,Households
410090018,"Female householder, no spouse or partner present:",With only nonrelatives present,3.47234,Households
410090018,"Female householder, no spouse or partner present:",With own children under 18 years,4.954222,Households
410090018,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",16.260783999999997,Households
410090018,"Male householder, no spouse or partner present:",Living alone,80.340521999999993,Households
410090018,"Male householder, no spouse or partner present:",With only nonrelatives present,5.7514,Households
410090018,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090018,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",13.338289999999999,Households
410090018,Married-couple household:,With no own children under 18 years,147.080412,Households
410090018,Married-couple household:,With own children under 18 years,19.002091999999998,Households
410090019,Cohabiting couple household:,With no own children of the householder under 18 years,41.630387999999996,Households
410090019,Cohabiting couple household:,With own children of the householder under 18 years,0,Households
410090019,"Female householder, no spouse or partner present:",Living alone,49.997392,Households
410090019,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090019,"Female householder, no spouse or partner present:",With own children under 18 years,0,Households
410090019,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",34.344892,Households
410090019,"Male householder, no spouse or partner present:",Living alone,81.335934,Households
410090019,"Male householder, no spouse or partner present:",With only nonrelatives present,0.514612,Households
410090019,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090019,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",5.620314,Households
410090019,Married-couple household:,With no own children under 18 years,248.099896,Households
410090019,Married-couple household:,With own children under 18 years,133.546916,Households
410090020,Cohabiting couple household:,With no own children of the householder under 18 years,30.528641999999998,Households
410090020,Cohabiting couple household:,With own children of the householder under 18 years,0,Households
410090020,"Female householder, no spouse or partner present:",Living alone,39.724804999999996,Households
410090020,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090020,"Female householder, no spouse or partner present:",With own children under 18 years,0,Households
410090020,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",35.322566,Households
410090020,"Male householder, no spouse or partner present:",Living alone,53.698494,Households
410090020,"Male householder, no spouse or partner present:",With only nonrelatives present,5.183402,Households
410090020,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090020,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",0.627837,Households
410090020,Married-couple household:,With no own children under 18 years,251.42054299999998,Households
410090020,Married-couple household:,With own children under 18 years,112.15618599999999,Households
410090021,Cohabiting couple household:,With no own children of the householder under 18 years,34.765347,Households
410090021,Cohabiting couple household:,With own children of the householder under 18 years,4.783507999999999,Households
410090021,"Female householder, no spouse or partner present:",Living alone,66.732054,Households
410090021,"Female householder, no spouse or partner present:",With only nonrelatives present,8.343373999999999,Households
410090021,"Female householder, no spouse or partner present:",With own children under 18 years,40.03888,Households
410090021,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",26.93726,Households
410090021,"Male householder, no spouse or partner present:",Living alone,55.354946999999996,Households
410090021,"Male householder, no spouse or partner present:",With only nonrelatives present,22.755578,Households
410090021,"Male householder, no spouse or partner present:",With own children under 18 years,7.917405,Households
410090021,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",7.663602,Households
410090021,Married-couple household:,With no own children under 18 years,162.162645,Households
410090021,Married-couple household:,With own children under 18 years,94.847521,Households
410090024,Cohabiting couple household:,With no own children of the householder under 18 years,33.00997,Households
410090024,Cohabiting couple household:,With own children of the householder under 18 years,17.026499,Households
410090024,"Female householder, no spouse or partner present:",Living alone,116.253183,Households
410090024,"Female householder, no spouse or partner present:",With only nonrelatives present,31.728374000000002,Households
410090024,"Female householder, no spouse or partner present:",With own children under 18 years,58.612753000000005,Households
410090024,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",36.06594,Households
410090024,"Male householder, no spouse or partner present:",Living alone,105.79012200000001,Households
410090024,"Male householder, no spouse or partner present:",With only nonrelatives present,29.933083999999997,Households
410090024,"Male householder, no spouse or partner present:",With own children under 18 years,26.39504,Households
410090024,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",27.381626,Households
410090024,Married-couple household:,With no own children under 18 years,159.716512,Households
410090024,Married-couple household:,With own children under 18 years,133.534969,Households
410090026,Cohabiting couple household:,With no own children of the householder under 18 years,16.699151,Households
410090026,Cohabiting couple household:,With own children of the householder under 18 years,28.754704,Households
410090026,"Female householder, no spouse or partner present:",Living alone,165.00337299999998,Households
410090026,"Female householder, no spouse or partner present:",With only nonrelatives present,19.641079,Households
410090026,"Female householder, no spouse or partner present:",With own children under 18 years,60.242928,Households
410090026,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",59.252626,Households
410090026,"Male householder, no spouse or partner present:",Living alone,86.871196,Households
410090026,"Male householder, no spouse or partner present:",With only nonrelatives present,2.6992700000000003,Households
410090026,"Male householder, no spouse or partner present:",With own children under 18 years,23.73665,Households
410090026,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",27.718414999999997,Households
410090026,Married-couple household:,With no own children under 18 years,313.430474,Households
410090026,Married-couple household:,With own children under 18 years,202.545279,Households
410090031,Cohabiting couple household:,With no own children of the householder under 18 years,40.363609,Households
410090031,Cohabiting couple household:,With own children of the householder under 18 years,9.659288,Households
410090031,"Female householder, no spouse or partner present:",Living alone,110.152193,Households
410090031,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090031,"Female householder, no spouse or partner present:",With own children under 18 years,53.097206,Households
410090031,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",16.403734,Households
410090031,"Male householder, no spouse or partner present:",Living alone,69.991267,Households
410090031,"Male householder, no spouse or partner present:",With only nonrelatives present,13.65438,Households
410090031,"Male householder, no spouse or partner present:",With own children under 18 years,22.147520999999998,Households
410090031,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",26.309737,Households
410090031,Married-couple household:,With no own children under 18 years,241.054061,Households
410090031,Married-couple household:,With own children under 18 years,104.890158,Households
410090032,Cohabiting couple household:,With no own children of the householder under 18 years,35.009391,Households
410090032,Cohabiting couple household:,With own children of the householder under 18 years,17.921044000000002,Households
410090032,"Female householder, no spouse or partner present:",Living alone,107.41518,Households
410090032,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090032,"Female householder, no spouse or partner present:",With own children under 18 years,3.871384,Households
410090032,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",4.575272,Households
410090032,"Male householder, no spouse or partner present:",Living alone,93.120448,Households
410090032,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090032,"Male householder, no spouse or partner present:",With own children under 18 years,17.245255999999998,Households
410090032,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",20.474894000000003,Households
410090032,Married-couple household:,With no own children under 18 years,255.561824,Households
410090032,Married-couple household:,With own children under 18 years,129.31284300000002,Households
410090034,Cohabiting couple household:,With no own children of the householder under 18 years,30.758133,Households
410090034,Cohabiting couple household:,With own children of the householder under 18 years,35.567407,Households
410090034,"Female householder, no spouse or partner present:",Living alone,98.42037,Households
410090034,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090034,"Female householder, no spouse or partner present:",With own children under 18 years,69.699158,Households
410090034,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",12.741197,Households
410090034,"Male householder, no spouse or partner present:",Living alone,67.097033,Households
410090034,"Male householder, no spouse or partner present:",With only nonrelatives present,16.719360000000002,Households
410090034,"Male householder, no spouse or partner present:",With own children under 18 years,23.526690000000002,Households
410090034,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",18.716816,Households
410090034,Married-couple household:,With no own children under 18 years,184.003012,Households
410090034,Married-couple household:,With own children under 18 years,98.730581,Households
410090035,Cohabiting couple household:,With no own children of the householder under 18 years,24.376351,Households
410090035,Cohabiting couple household:,With own children of the householder under 18 years,7.111085,Households
410090035,"Female householder, no spouse or partner present:",Living alone,84.59178299999999,Households
410090035,"Female householder, no spouse or partner present:",With only nonrelatives present,0.00437,Households
410090035,"Female householder, no spouse or partner present:",With own children under 18 years,2.025054,Households
410090035,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",8.50622,Households
410090035,"Male householder, no spouse or partner present:",Living alone,77.616373,Households
410090035,"Male householder, no spouse or partner present:",With only nonrelatives present,0.004368,Households
410090035,"Male householder, no spouse or partner present:",With own children under 18 years,8.986566999999999,Households
410090035,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",15.810855,Households
410090035,Married-couple household:,With no own children under 18 years,240.71239400000002,Households
410090035,Married-couple household:,With own children under 18 years,130.881084,Households
410090036,Cohabiting couple household:,With no own children of the householder under 18 years,15.153595000000001,Households
410090036,Cohabiting couple household:,With own children of the householder under 18 years,10.235054,Households
410090036,"Female householder, no spouse or partner present:",Living alone,78.637825,Households
410090036,"Female householder, no spouse or partner present:",With only nonrelatives present,0.030974,Households
410090036,"Female householder, no spouse or partner present:",With own children under 18 years,3.196875,Households
410090036,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",18.917227,Households
410090036,"Male householder, no spouse or partner present:",Living alone,46.818769,Households
410090036,"Male householder, no spouse or partner present:",With only nonrelatives present,0.937452,Households
410090036,"Male householder, no spouse or partner present:",With own children under 18 years,1.487445,Households
410090036,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",2.017786,Households
410090036,Married-couple household:,With no own children under 18 years,248.81683800000002,Households
410090036,Married-couple household:,With own children under 18 years,144.21692600000003,Households
410090038,Cohabiting couple household:,With no own children of the householder under 18 years,47.436206,Households
410090038,Cohabiting couple household:,With own children of the householder under 18 years,0.013585,Households
410090038,"Female householder, no spouse or partner present:",Living alone,92.138206,Households
410090038,"Female householder, no spouse or partner present:",With only nonrelatives present,0.071757,Households
410090038,"Female householder, no spouse or partner present:",With own children under 18 years,28.858995,Households
410090038,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",28.554854,Households
410090038,"Male householder, no spouse or partner present:",Living alone,75.93714999999999,Households
410090038,"Male householder, no spouse or partner present:",With only nonrelatives present,7.898339999999999,Households
410090038,"Male householder, no spouse or partner present:",With own children under 18 years,13.467531,Households
410090038,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",18.042955,Households
410090038,Married-couple household:,With no own children under 18 years,266.92555500000003,Households
410090038,Married-couple household:,With own children under 18 years,124.62024699999999,Households
410090039,Cohabiting couple household:,With no own children of the householder under 18 years,10.074536,Households
410090039,Cohabiting couple household:,With own children of the householder under 18 years,0.049439,Households
410090039,"Female householder, no spouse or partner present:",Living alone,47.065695000000005,Households
410090039,"Female householder, no spouse or partner present:",With only nonrelatives present,0.006328,Households
410090039,"Female householder, no spouse or partner present:",With own children under 18 years,0.024715,Households
410090039,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",0.025463,Households
410090039,"Male householder, no spouse or partner present:",Living alone,75.71858,Households
410090039,"Male householder, no spouse or partner present:",With only nonrelatives present,0.018596,Households
410090039,"Male householder, no spouse or partner present:",With own children under 18 years,0.08674499999999999,Households
410090039,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",20.893396000000003,Households
410090039,Married-couple household:,With no own children under 18 years,175.550945,Households
410090039,Married-couple household:,With own children under 18 years,94.75390100000001,Households
410090040,Cohabiting couple household:,With no own children of the householder under 18 years,41.374083,Households
410090040,Cohabiting couple household:,With own children of the householder under 18 years,1.188938,Households
410090040,"Female householder, no spouse or partner present:",Living alone,53.679792,Households
410090040,"Female householder, no spouse or partner present:",With only nonrelatives present,19.775703999999998,Households
410090040,"Female householder, no spouse or partner present:",With own children under 18 years,5.399142,Households
410090040,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",11.411763,Households
410090040,"Male householder, no spouse or partner present:",Living alone,28.135676,Households
410090040,"Male householder, no spouse or partner present:",With only nonrelatives present,2.386308,Households
410090040,"Male householder, no spouse or partner present:",With own children under 18 years,0.398328,Households
410090040,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",2.671438,Households
410090040,Married-couple household:,With no own children under 18 years,215.037331,Households
410090040,Married-couple household:,With own children under 18 years,99.69895,Households
410090041,Cohabiting couple household:,With no own children of the householder under 18 years,18.33736,Households
410090041,Cohabiting couple household:,With own children of the householder under 18 years,1.04578,Households
410090041,"Female householder, no spouse or partner present:",Living alone,45.845749999999995,Households
410090041,"Female householder, no spouse or partner present:",With only nonrelatives present,5.59518,Households
410090041,"Female householder, no spouse or partner present:",With own children under 18 years,0,Households
410090041,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",18.387929999999997,Households
410090041,"Male householder, no spouse or partner present:",Living alone,64.393955,Households
410090041,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090041,"Male householder, no spouse or partner present:",With own children under 18 years,6.145785,Households
410090041,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",17.343384999999998,Households
410090041,Married-couple household:,With no own children under 18 years,172.38078,Households
410090041,Married-couple household:,With own children under 18 years,77.65781,Households
410090044,Cohabiting couple household:,With no own children of the householder under 18 years,17.133374,Households
410090044,Cohabiting couple household:,With own children of the householder under 18 years,1.394388,Households
410090044,"Female householder, no spouse or partner present:",Living alone,48.891714,Households
410090044,"Female householder, no spouse or partner present:",With only nonrelatives present,6.10501,Households
410090044,"Female householder, no spouse or partner present:",With own children under 18 years,0.008014,Households
410090044,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",20.005779,Households
410090044,"Male householder, no spouse or partner present:",Living alone,65.058551,Households
410090044,"Male householder, no spouse or partner present:",With only nonrelatives present,0.0069099999999999995,Households
410090044,"Male householder, no spouse or partner present:",With own children under 18 years,5.720098,Households
410090044,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",15.290186,Households
410090044,Married-couple household:,With no own children under 18 years,165.939531,Households
410090044,Married-couple household:,With own children under 18 years,79.638471,Households
410090046,Cohabiting couple household:,With no own children of the householder under 18 years,8.312339999999999,Households
410090046,Cohabiting couple household:,With own children of the householder under 18 years,8.711149,Households
410090046,"Female householder, no spouse or partner present:",Living alone,59.695369,Households
410090046,"Female householder, no spouse or partner present:",With only nonrelatives present,11.608938,Households
410090046,"Female householder, no spouse or partner present:",With own children under 18 years,1.6077100000000002,Households
410090046,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",34.414596,Households
410090046,"Male householder, no spouse or partner present:",Living alone,31.199909,Households
410090046,"Male householder, no spouse or partner present:",With only nonrelatives present,15.68107,Households
410090046,"Male householder, no spouse or partner present:",With own children under 18 years,7.264657000000001,Households
410090046,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",6.115799,Households
410090046,Married-couple household:,With no own children under 18 years,233.61946700000001,Households
410090046,Married-couple household:,With own children under 18 years,96.140818,Households
410090047,Cohabiting couple household:,With no own children of the householder under 18 years,25.13274,Households
410090047,Cohabiting couple household:,With own children of the householder under 18 years,0.362219,Households
410090047,"Female householder, no spouse or partner present:",Living alone,48.273782,Households
410090047,"Female householder, no spouse or partner present:",With only nonrelatives present,12.127488,Households
410090047,"Female householder, no spouse or partner present:",With own children under 18 years,0.012915,Households
410090047,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",15.040235,Households
410090047,"Male householder, no spouse or partner present:",Living alone,58.366489,Households
410090047,"Male householder, no spouse or partner present:",With only nonrelatives present,31.610867999999996,Households
410090047,"Male householder, no spouse or partner present:",With own children under 18 years,0.317091,Households
410090047,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",13.219202,Households
410090047,Married-couple household:,With no own children under 18 years,99.07397,Households
410090047,Married-couple household:,With own children under 18 years,73.462769,Households
410090048,Cohabiting couple household:,With no own children of the householder under 18 years,41.998287999999995,Households
410090048,Cohabiting couple household:,With own children of the householder under 18 years,2.229946,Households
410090048,"Female householder, no spouse or partner present:",Living alone,74.548153,Households
410090048,"Female householder, no spouse or partner present:",With only nonrelatives present,38.971846,Households
410090048,"Female householder, no spouse or partner present:",With own children under 18 years,10.898753,Households
410090048,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",8.367014,Households
410090048,"Male householder, no spouse or partner present:",Living alone,26.431438,Households
410090048,"Male householder, no spouse or partner present:",With only nonrelatives present,3.6633129999999996,Households
410090048,"Male householder, no spouse or partner present:",With own children under 18 years,1.220211,Households
410090048,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",4.510608,Households
410090048,Married-couple household:,With no own children under 18 years,278.347745,Households
410090048,Married-couple household:,With own children under 18 years,94.352585,Households
410090049,Cohabiting couple household:,With no own children of the householder under 18 years,20.814024,Households
410090049,Cohabiting couple household:,With own children of the householder under 18 years,0,Households
410090049,"Female householder, no spouse or partner present:",Living alone,45.559923999999995,Households
410090049,"Female householder, no spouse or partner present:",With only nonrelatives present,4.98992,Households
410090049,"Female householder, no spouse or partner present:",With own children under 18 years,0.010499999999999999,Households
410090049,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",8.898696,Households
410090049,"Male householder, no spouse or partner present:",Living alone,80.105064,Households
410090049,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090049,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090049,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",6.921208,Households
410090049,Married-couple household:,With no own children under 18 years,271.18465599999996,Households
410090049,Married-couple household:,With own children under 18 years,76.224638,Households
410090050,Cohabiting couple household:,With no own children of the householder under 18 years,8,Households
410090050,Cohabiting couple household:,With own children of the householder under 18 years,0,Households
410090050,"Female householder, no spouse or partner present:",Living alone,23,Households
410090050,"Female householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090050,"Female householder, no spouse or partner present:",With own children under 18 years,13,Households
410090050,"Female householder, no spouse or partner present:","With relatives, no own children under 18 years",26,Households
410090050,"Male householder, no spouse or partner present:",Living alone,23,Households
410090050,"Male householder, no spouse or partner present:",With only nonrelatives present,0,Households
410090050,"Male householder, no spouse or partner present:",With own children under 18 years,0,Households
410090050,"Male householder, no spouse or partner present:","With relatives, no own children under 18 years",35,Households
410090050,Married-couple household:,With no own children under 18 years,178,Households
410090050,Married-couple household:,With own children under 18 years,28,Households
410090051,Cohabiting couple household:,With no own children of the householder under 18 years,14.212235999999999,Households
410090051,Cohabiting couple household:,With own children of the householder under 18 years,14.716556999999998,Households
410090051,"Female householder, no spouse or partner present:",Living alone,78.192359,Households
410090051,"Female householder, no spouse or partner present:",With only nonrelatives present,0.45222000000000007,Households
410090051,"Female householder, no spouse or partner present:",With own children under 18 years,6.210896999999999,Households
